"No.","Time","Source","Destination","Protocol","Length","Info"
"2526","5508.712407438","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=71740 Ack=32719 Win=64240 Len=0"
"2527","5509.131928227","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2528","5509.132030373","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=32719 Ack=71832 Win=65535 Len=0"
"2535","5537.934606102","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2536","5537.934661799","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=32719 Ack=72267 Win=65535 Len=0"
"2540","5540.170672385","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2541","5540.172098349","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=72267 Ack=32965 Win=64240 Len=0"
"2542","5540.847261221","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2543","5540.847339260","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=32965 Ack=72359 Win=65535 Len=0"
"2551","5560.709966021","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2552","5560.710902267","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=72359 Ack=33211 Win=64240 Len=0"
"2553","5561.110281064","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2554","5561.110379492","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=33211 Ack=72451 Win=65535 Len=0"
"2555","5590.553919134","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2556","5590.554895694","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=72451 Ack=33457 Win=64240 Len=0"
"2557","5590.990630435","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2558","5590.990732391","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=33457 Ack=72543 Win=65535 Len=0"
"2561","5599.218998410","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2562","5599.219034038","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=33457 Ack=72978 Win=65535 Len=0"
"2573","5661.461485851","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2574","5661.461542890","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=33457 Ack=73413 Win=65535 Len=0"
"2584","5718.746362539","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2585","5718.746429847","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=33457 Ack=73848 Win=65535 Len=0"
"2588","5760.549980738","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2589","5760.550922210","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=73848 Ack=33703 Win=64240 Len=0"
"2590","5760.985968561","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2591","5760.986041961","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=33703 Ack=73940 Win=65535 Len=0"
"2600","5779.868312324","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2601","5779.868369073","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=33703 Ack=74375 Win=65535 Len=0"
"2610","5832.614858648","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2611","5832.615945688","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=74375 Ack=33949 Win=64240 Len=0"
"2612","5833.307939668","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2613","5833.308046543","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=33949 Ack=74467 Win=65535 Len=0"
"2614","5838.909012359","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2615","5838.909083625","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=33949 Ack=74902 Win=65535 Len=0"
"2616","5843.578917931","149.202.83.171","192.168.217.128","TLSv1.2","491","Application Data"
"2617","5843.578967806","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=33949 Ack=75339 Win=65535 Len=0"
"2618","5883.291790359","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2619","5883.291860904","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=33949 Ack=75774 Win=65535 Len=0"
"2623","5891.827234221","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2624","5891.828359534","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=75774 Ack=34195 Win=64240 Len=0"
"2625","5892.526798150","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2626","5892.526865249","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=34195 Ack=75866 Win=65535 Len=0"
"2634","5899.152361913","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2635","5899.152405747","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=34195 Ack=76301 Win=65535 Len=0"
"2644","5954.337928091","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2647","5954.339167143","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=76301 Ack=34441 Win=64240 Len=0"
"2648","5954.913166455","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2649","5954.913230568","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=34441 Ack=76393 Win=65535 Len=0"
"2650","5959.393751411","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2651","5959.393802980","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=34441 Ack=76828 Win=65535 Len=0"
"2652","5964.205041960","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2653","5964.205110531","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=34441 Ack=77263 Win=65535 Len=0"
"2654","5971.335487356","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2655","5971.336411685","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=77263 Ack=34687 Win=64240 Len=0"
"2656","5971.873988566","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2657","5971.874088707","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=34687 Ack=77355 Win=65535 Len=0"
"2658","5991.367561063","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2659","5991.368817443","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=77355 Ack=34933 Win=64240 Len=0"
"2660","5991.778423365","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2661","5991.778511453","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=34933 Ack=77447 Win=65535 Len=0"
"2666","6008.616288668","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2667","6008.617698667","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=77447 Ack=35179 Win=64240 Len=0"
"2668","6009.315088607","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2669","6009.315220720","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=35179 Ack=77539 Win=65535 Len=0"
"2678","6019.492182014","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2679","6019.492269732","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=35179 Ack=77974 Win=65535 Len=0"
"2688","6029.071915293","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2689","6029.071977051","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=35179 Ack=78409 Win=65535 Len=0"
"2690","6042.281666024","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2691","6042.281736589","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=35179 Ack=78844 Win=65535 Len=0"
"2694","6079.720249303","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2695","6079.720294269","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=35179 Ack=79279 Win=65535 Len=0"
"2698","6101.494712907","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2699","6101.494764446","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=35179 Ack=79714 Win=65535 Len=0"
"2700","6109.494553516","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2701","6109.495550884","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=79714 Ack=35425 Win=64240 Len=0"
"2702","6110.120317565","149.202.83.171","192.168.217.128","TLSv1.2","146","Application Data"
"2703","6110.120383070","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=35425 Ack=79806 Win=65535 Len=0"
"2713","6140.842160846","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
"2714","6140.842218025","192.168.217.128","149.202.83.171","TCP","54","41674  >  9000 [ACK] Seq=35425 Ack=80241 Win=65535 Len=0"
"2724","6165.711615184","192.168.217.128","149.202.83.171","TLSv1.2","300","Application Data"
"2725","6165.712795132","149.202.83.171","192.168.217.128","TCP","60","9000  >  41674 [ACK] Seq=80241 Ack=35671 Win=64240 Len=0"
"2726","6170.607533559","149.202.83.171","192.168.217.128","TLSv1.2","489","Application Data"
