"No.","Time","Source","Destination","Protocol","Length","Info"
"13866","34166.236611562","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=9091 Ack=18713 Win=62905 Len=0"
"13867","34172.116709900","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"13868","34172.116806535","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=9091 Ack=19148 Win=62905 Len=0"
"13873","34183.561848588","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"13874","34183.562866743","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=19148 Ack=9337 Win=64240 Len=0"
"13875","34184.274787183","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"13876","34184.274904087","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=9337 Ack=19240 Win=62905 Len=0"
"13897","34227.397942172","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"13898","34227.397997097","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=9337 Ack=19675 Win=62905 Len=0"
"13923","34286.680760420","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"13924","34286.680828600","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=9337 Ack=20110 Win=62905 Len=0"
"13925","34289.163726502","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"13926","34289.163793079","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=9337 Ack=20545 Win=62905 Len=0"
"13929","34296.883532666","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"13930","34296.884321421","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=20545 Ack=9583 Win=64240 Len=0"
"13931","34297.561085232","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"13932","34297.561175415","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=9583 Ack=20637 Win=62905 Len=0"
"13933","34337.079485680","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"13934","34337.080538725","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=20637 Ack=9829 Win=64240 Len=0"
"13935","34337.487734880","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"13936","34337.487813590","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=9829 Ack=20729 Win=62905 Len=0"
"13937","34346.881172703","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"13938","34346.881232428","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=9829 Ack=21164 Win=62905 Len=0"
"13955","34407.107050387","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"13956","34407.107124348","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=9829 Ack=21599 Win=62905 Len=0"
"13959","34417.736629138","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"13960","34417.737524666","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=21599 Ack=10075 Win=64240 Len=0"
"13961","34418.130550354","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"13962","34418.130627010","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=10075 Ack=21691 Win=62905 Len=0"
"13964","34467.339606513","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"13965","34467.339657551","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=10075 Ack=22126 Win=62905 Len=0"
"13966","34471.261237739","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"13967","34471.262145056","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=22126 Ack=10321 Win=64240 Len=0"
"13968","34471.648445676","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"13969","34471.648589792","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=10321 Ack=22218 Win=62905 Len=0"
"13989","34528.394763509","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"13990","34528.394805639","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=10321 Ack=22653 Win=62905 Len=0"
"13993","34539.597311780","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"13994","34539.598366741","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=22653 Ack=10567 Win=64240 Len=0"
"13995","34539.987639338","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"13996","34539.987729481","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=10567 Ack=22745 Win=62905 Len=0"
"13997","34588.622974418","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"13998","34588.623046806","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=10567 Ack=23180 Win=62905 Len=0"
"14017","34631.811377089","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14018","34631.812360602","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=23180 Ack=10813 Win=64240 Len=0"
"14019","34632.197917279","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14020","34632.197982354","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=10813 Ack=23272 Win=62905 Len=0"
"14021","34648.044068479","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14022","34648.044115750","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=10813 Ack=23707 Win=62905 Len=0"
"14023","34695.858625077","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14024","34695.859541526","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=23707 Ack=11059 Win=64240 Len=0"
"14025","34696.300918993","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14026","34696.301000519","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=11059 Ack=23799 Win=62905 Len=0"
"14027","34708.462128400","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14028","34708.462185990","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=11059 Ack=24234 Win=62905 Len=0"
"14030","34724.557005661","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14031","34724.557946752","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=24234 Ack=11305 Win=64240 Len=0"
"14032","34724.967508494","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14033","34724.967594639","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=11305 Ack=24326 Win=62905 Len=0"
"14049","34740.219801126","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14050","34740.220597160","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=24326 Ack=11551 Win=64240 Len=0"
"14051","34740.614352569","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14052","34740.614484411","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=11551 Ack=24418 Win=62905 Len=0"
"14150","34768.516709907","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14151","34768.516760443","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=11551 Ack=24853 Win=62905 Len=0"
"14237","34773.129324248","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14238","34773.130223520","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=24853 Ack=11797 Win=64240 Len=0"
"14239","34773.518542375","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14240","34773.518653797","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=11797 Ack=24945 Win=62905 Len=0"
"14315","34791.161794771","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14316","34791.163245247","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=24945 Ack=12043 Win=64240 Len=0"
"14317","34791.589866820","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14318","34791.589923529","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=12043 Ack=25037 Win=62905 Len=0"
"14321","34795.614155847","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14322","34795.615062592","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=25037 Ack=12289 Win=64240 Len=0"
"14323","34799.035024389","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14324","34799.035109692","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=12289 Ack=25129 Win=62905 Len=0"
"14328","34828.736910590","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14329","34828.736949935","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=12289 Ack=25564 Win=62905 Len=0"
"14350","34869.801954744","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14351","34869.802962033","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=25564 Ack=12535 Win=64240 Len=0"
"14352","34870.387629513","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14353","34870.387703094","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=12535 Ack=25656 Win=62905 Len=0"
"14354","34888.948453131","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14355","34888.948509650","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=12535 Ack=26091 Win=62905 Len=0"
"14356","34908.608481302","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14357","34908.608565163","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=12535 Ack=26526 Win=62905 Len=0"
"14360","34937.138541710","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14361","34937.139667153","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=26526 Ack=12781 Win=64240 Len=0"
"14362","34937.551481880","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14363","34937.551602400","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=12781 Ack=26618 Win=62905 Len=0"
"14368","34949.184815152","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14369","34949.184912438","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=12781 Ack=27053 Win=62905 Len=0"
"14370","34950.782355961","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14371","34950.782401789","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=12781 Ack=27488 Win=62905 Len=0"
"14392","35009.594112627","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14393","35009.594179825","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=12781 Ack=27923 Win=62905 Len=0"
"14396","35034.789172998","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14397","35034.790085574","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=27923 Ack=13027 Win=64240 Len=0"
"14398","35035.196006133","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14399","35035.196084392","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=13027 Ack=28015 Win=62905 Len=0"
"14400","35069.596801266","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14401","35069.596913451","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=13027 Ack=28450 Win=62905 Len=0"
"14404","35082.465814274","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14405","35082.465862065","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=13027 Ack=28885 Win=62905 Len=0"
"14422","35128.340681324","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14423","35128.341955593","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=28885 Ack=13273 Win=64240 Len=0"
"14426","35128.959324445","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14427","35128.959385763","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=13273 Ack=28977 Win=62905 Len=0"
"14428","35129.920093755","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14429","35129.920189468","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=13273 Ack=29412 Win=62905 Len=0"
"14430","35131.783991434","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14431","35131.785284935","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=29412 Ack=13519 Win=64240 Len=0"
"14432","35132.479209085","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14433","35132.479290431","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=13519 Ack=29504 Win=62905 Len=0"
"14456","35178.058175273","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14457","35178.059035088","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=29504 Ack=13765 Win=64240 Len=0"
"14458","35178.468442565","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14459","35178.468514172","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=13765 Ack=29596 Win=62905 Len=0"
"14460","35189.983814619","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14461","35189.983863983","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=13765 Ack=30031 Win=62905 Len=0"
"14462","35190.419551855","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14463","35190.419604135","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=13765 Ack=30466 Win=62905 Len=0"
"14466","35250.165329608","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14467","35250.165401005","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=13765 Ack=30901 Win=62905 Len=0"
"14485","35278.987162872","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14486","35278.998352399","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=30901 Ack=14011 Win=64240 Len=0"
"14487","35279.417102288","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14488","35279.417199474","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=14011 Ack=30993 Win=62905 Len=0"
"14490","35291.568153862","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14491","35291.568204850","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=14011 Ack=31428 Win=62905 Len=0"
"14492","35296.560978859","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14493","35296.561947443","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=31428 Ack=14257 Win=64240 Len=0"
"14494","35296.968098347","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14495","35296.968174402","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=14257 Ack=31520 Win=62905 Len=0"
"14496","35311.252842112","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14497","35311.252901034","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=14257 Ack=31955 Win=62905 Len=0"
"14498","35317.321848377","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14499","35317.323481737","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=31955 Ack=14503 Win=64240 Len=0"
"14500","35318.629478156","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14501","35318.629549583","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=14503 Ack=32047 Win=62905 Len=0"
"14502","35331.046222596","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14503","35331.047010373","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=32047 Ack=14749 Win=64240 Len=0"
"14504","35332.820799157","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14505","35332.820875373","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=14749 Ack=32139 Win=62905 Len=0"
"14506","35336.872781372","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14507","35336.873815441","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=32139 Ack=14995 Win=64240 Len=0"
"14508","35337.290173571","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14509","35337.290251500","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=14995 Ack=32231 Win=62905 Len=0"
"14510","35342.198283064","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14511","35342.210675103","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=32231 Ack=15241 Win=64240 Len=0"
"14512","35342.613671960","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14513","35342.613799023","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=15241 Ack=32323 Win=62905 Len=0"
"14514","35342.614271948","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14515","35342.614887341","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=32323 Ack=15487 Win=64240 Len=0"
"14516","35343.048900487","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14517","35343.048991442","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=15487 Ack=32415 Win=62905 Len=0"
"14518","35356.632405857","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14519","35356.633180991","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=32415 Ack=15733 Win=64240 Len=0"
"14520","35357.132138966","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14521","35357.132214340","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=15733 Ack=32507 Win=62905 Len=0"
"14522","35370.551751609","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14523","35370.551797437","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=15733 Ack=32942 Win=62905 Len=0"
"14542","35430.761570757","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14543","35430.761606525","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=15733 Ack=33377 Win=62905 Len=0"
"14546","35445.517150116","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14547","35445.518030531","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=33377 Ack=15979 Win=64240 Len=0"
"14548","35445.901521980","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14549","35445.901586263","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=15979 Ack=33469 Win=62905 Len=0"
"14550","35456.601181267","94.23.247.226","192.168.217.128","TLSv1.2","491","Application Data"
"14551","35456.601240210","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=15979 Ack=33906 Win=62905 Len=0"
"14552","35460.728268537","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14553","35460.729254323","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=33906 Ack=16225 Win=64240 Len=0"
"14554","35461.130832014","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14555","35461.130977733","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=16225 Ack=33998 Win=62905 Len=0"
"14556","35491.037245701","94.23.247.226","192.168.217.128","TLSv1.2","491","Application Data"
"14557","35491.037339280","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=16225 Ack=34435 Win=62905 Len=0"
"14558","35494.047135795","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14559","35494.048222014","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=34435 Ack=16471 Win=64240 Len=0"
"14560","35494.453927796","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14561","35494.453998541","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=16471 Ack=34527 Win=62905 Len=0"
"14562","35494.454691507","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14563","35494.455518691","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=34527 Ack=16717 Win=64240 Len=0"
"14564","35494.845212717","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14565","35494.845287810","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=16717 Ack=34619 Win=62905 Len=0"
"14582","35552.980044625","94.23.247.226","192.168.217.128","TLSv1.2","491","Application Data"
"14583","35552.980100622","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=16717 Ack=35056 Win=62905 Len=0"
"14586","35612.797581513","94.23.247.226","192.168.217.128","TLSv1.2","491","Application Data"
"14587","35612.797656907","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=16717 Ack=35493 Win=62905 Len=0"
"14606","35643.378666967","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14607","35643.378760546","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=16717 Ack=35928 Win=62905 Len=0"
"14608","35655.770589124","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14609","35655.770671411","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=16717 Ack=36363 Win=62905 Len=0"
"14610","35671.946532212","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14611","35671.946616924","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=16717 Ack=36798 Win=62905 Len=0"
"14614","35724.592323112","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14615","35724.593394973","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=36798 Ack=16963 Win=64240 Len=0"
"14616","35725.074726772","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14617","35725.074849336","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=16963 Ack=36890 Win=62905 Len=0"
"14620","35732.212522460","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14621","35732.212574109","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=16963 Ack=37325 Win=62905 Len=0"
"14623","35750.109159715","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14624","35750.109208759","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=16963 Ack=37760 Win=62905 Len=0"
"14644","35769.030472868","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14645","35769.031511695","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=37760 Ack=17209 Win=64240 Len=0"
"14646","35769.628146661","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14647","35769.628240811","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=17209 Ack=37852 Win=62905 Len=0"
"14648","35783.163530989","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14649","35783.163600071","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=17209 Ack=38287 Win=62905 Len=0"
"14650","35792.351742773","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14651","35792.351787088","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=17209 Ack=38722 Win=62905 Len=0"
"14652","35852.515141002","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14653","35852.515237707","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=17209 Ack=39157 Win=62905 Len=0"
"14663","35874.767310685","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14664","35874.778130074","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=39157 Ack=17455 Win=64240 Len=0"
"14665","35875.553357021","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14666","35875.553509993","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=17455 Ack=39249 Win=62905 Len=0"
"14676","35891.108118732","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14677","35891.108184077","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=17455 Ack=39684 Win=62905 Len=0"
"14678","35898.763634671","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14679","35898.775843353","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=39684 Ack=17701 Win=64240 Len=0"
"14680","35899.187967685","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14681","35899.188097453","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=17701 Ack=39776 Win=62905 Len=0"
"14682","35912.681244856","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14683","35912.681295663","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=17701 Ack=40211 Win=62905 Len=0"
"14685","35924.024789611","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14686","35924.026724138","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=40211 Ack=17947 Win=64240 Len=0"
"14687","35924.517161981","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14688","35924.517237155","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=17947 Ack=40303 Win=62905 Len=0"
"14689","35934.334407366","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14690","35934.335210995","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=40303 Ack=18193 Win=64240 Len=0"
"14691","35934.756947329","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14692","35934.757020329","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=18193 Ack=40395 Win=62905 Len=0"
"14693","35972.879244846","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14694","35972.879299801","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=18193 Ack=40830 Win=62905 Len=0"
"14706","35999.574447968","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
"14707","35999.575535955","94.23.247.226","192.168.217.128","TCP","60","9000  >  42760 [ACK] Seq=40830 Ack=18439 Win=64240 Len=0"
"14709","36000.039914300","94.23.247.226","192.168.217.128","TLSv1.2","146","Application Data"
"14710","36000.040002549","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=18439 Ack=40922 Win=62905 Len=0"
"14717","36033.324950857","94.23.247.226","192.168.217.128","TLSv1.2","489","Application Data"
"14718","36033.324986776","192.168.217.128","94.23.247.226","TCP","54","42760  >  9000 [ACK] Seq=18439 Ack=41357 Win=62905 Len=0"
"14728","36047.524020589","192.168.217.128","94.23.247.226","TLSv1.2","300","Application Data"
